DIRECTORIO_MZ,DIRECTORIO_PRED,DIRECTORIO_HOG,DIRECTORIO_PER,periodo,SECTOR,Cod_Locali,Nom_Locali,Cod_UPL,Nom_UPL,A6x2,A6x3,C1,D1,E1,E1x1,G1,H1,C303,sexo_jefe,Ax201,Bx201,Cx201,Dx201,Ex201,Fx201,Gx201,Hx201,Ix201,Jx201,Ax202,ind_distribuciontareas_202,Jx402,Jx403,Kx404_1,Kx404_2,Kx404_3,Kx404_4,Kx404_5,Kx404_6,Lx404_1,Lx404_2,Lx404_3,Lx404_4,Lx404_5,Lx404_6,Mx404_1,Mx404_2,Mx404_3,Mx404_4,Mx404_5,Mx404_6,Nx404_1,Nx404_2,Nx404_3,Nx404_4,Nx404_5,Nx404_6,F405,G406,IPS_dia,IPS_noche,IPSJ_A,IPSJ_C,IPSJ_E,Dx704,ICG_D,Bx704,ICG_B,Ax102,Bx102,Cx102,Dx102,Ex102,Fx102,Gx102,A101,ind_salud_101,ind_salud_102,fexp_calp_anu,fexp_calh_anu
202504073,202504073006,20250407300601,2025040730060101,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,0,76,2,2,2,,5,2,2,2,1,6,1,8,1,1,1,,,8.0,1,1,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,6,4.0,,2.0,4.0,3.0,3,3.0,4,4.0,0,0,1,0,1,1,0,3,0,0,35.6863517060367,28.1711111111111
202504073,202504073007,20250407300701,2025040730070101,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,0,68,2,2,2,,1,2,1,2,1,6,1,1,1,1,1,,,8.0,4,3,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,6,3.0,,4.0,3.0,3.0,3,3.0,3,3.0,1,0,0,1,1,1,1,3,0,1,35.6863517060367,28.1711111111111
202504073,202504073008,20250407300801,2025040730080101,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,9,88,2,1,1,,6,2,2,2,1,6,5,8,1,1,1,,,8.0,1,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,6,4.0,,2.0,3.0,2.0,2,2.0,4,4.0,0,0,0,0,0,0,0,4,1,0,107.05905511811,28.1711111111111
202504073,202504073009,20250407300901,2025040730090101,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,1,36,6,2,2,,2,2,2,1,3,1,2,1,1,3,3,,,,2,1,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,3.0,2.0,3.0,3.0,1.0,4,4.0,4,4.0,0,0,1,1,0,1,0,4,1,0,71.3727034120735,28.1711111111111
202504073,202504073010,20250407301001,2025040730100103,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,2,39,5,2,2,,1,2,2,1,4,1,4,8,4,4,4,4.0,5.0,8.0,2,1,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,3.0,2.0,2.0,2.0,2.0,2,2.0,3,3.0,0,1,1,2,2,1,0,3,0,1,142.745406824147,28.1711111111111
202504073,202504073011,20250407301101,2025040730110102,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,0,89,2,2,2,,6,2,2,2,7,7,7,8,7,4,1,,,4.0,1,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6,6,,,4.0,3.0,2.0,4,4.0,4,4.0,0,0,0,0,0,0,0,3,0,0,71.3727034120735,28.1711111111111
202504073,202504073012,20250407301201,2025040730120101,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,0,82,6,1,1,,2,2,2,1,2,1,2,2,2,2,1,,,8.0,1,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,6,4.0,,3.0,4.0,2.0,2,2.0,4,4.0,0,0,0,0,1,0,0,4,1,0,71.3727034120735,28.1711111111111
202504073,202504073013,20250407301301,2025040730130103,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,2,26,6,1,1,,1,2,2,1,4,1,2,8,2,3,1,,,,1,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,4.0,2.0,2.0,2.0,2.0,2,2.0,4,4.0,1,0,3,2,0,0,0,3,0,1,107.05905511811,28.1711111111111
202504073,202504073014,20250407301401,2025040730140104,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,2,27,6,1,1,,1,2,2,2,1,4,4,1,4,4,4,,,,2,1,2.0,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,5,4,5.0,4.0,1.0,1.0,1.0,2,2.0,2,2.0,0,1,1,1,0,0,0,5,1,0,142.745406824147,28.1711111111111
202504073,202504073015,20250407301501,2025040730150102,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,2,32,6,2,2,,1,2,2,1,2,1,2,8,2,4,4,,,8.0,4,3,,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2.0,1.0,2.0,2.0,1.0,1,1.0,4,4.0,1,0,1,1,0,1,1,4,1,1,107.05905511811,28.1711111111111
202504073,202504073016,20250407301601,2025040730160103,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,0,54,3,1,1,,3,2,2,1,4,4,2,2,2,3,3,,,,1,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1.0,1.0,2.0,2.0,2.0,2,2.0,4,4.0,0,0,1,1,0,0,0,4,1,0,107.05905511811,28.1711111111111
202504073,202504073017,20250407301701,2025040730170101,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,0,64,5,2,2,,5,2,2,2,1,1,1,1,1,1,1,,,8.0,1,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,4.0,2.0,3.0,4.0,1.0,4,4.0,5,5.0,0,1,1,1,1,1,0,4,1,1,35.6863517060367,28.1711111111111
202504073,202504073018,20250407301801,2025040730180101,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,2,57,6,1,1,,2,2,2,2,4,6,4,4,4,7,4,,,8.0,1,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,4.0,2.0,2.0,3.0,2.0,4,4.0,2,2.0,0,0,1,0,0,0,0,4,1,0,71.3727034120735,28.1711111111111
202504073,202504073019,20250407301901,2025040730190101,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,1,26,5,2,2,,3,2,2,1,2,1,2,8,1,3,3,3.0,8.0,,1,1,,,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1,3.0,1.0,3.0,4.0,3.0,4,4.0,4,4.0,0,0,1,0,1,0,0,4,1,0,71.3727034120735,28.1711111111111
202504073,202504073020,20250407302001,2025040730200101,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,10,66,4,2,2,,5,2,2,2,4,4,4,8,4,4,4,,,8.0,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,3,3.0,3.0,3.0,2.0,2.0,2,2.0,3,3.0,0,0,0,0,0,0,0,4,1,0,71.3727034120735,28.1711111111111
