indice_pregunta;indice_variable;columna;codigo_variable;num_seccion;pregunta;titulo;tipo;etiqueta_orden;enunciado_2;etiqueta_enunciado;etiqueta_corta;en_cubo;tags;variable_nombre;unidad_medida
74;269;JJ;P47.1;;47;;category;;Solicitó ayuda ante las autoridades competentes;Solicitó ayuda ante las autoridades competentes;;1;;;
74;270;JK;P47.2;;47;;category;;Interpuso alguna acción legal;Interpuso alguna acción legal;;1;;;
74;271;JL;P47.3;;47;;category;;Hizo alguna denuncia en medios de comunicación y redes sociales;Hizo alguna denuncia en medios de comunicación y redes sociales;;1;;;
74;272;JM;P47.4;;47;;category;;Pidió ayuda a un líder, lideresa o representante de la comunidad;Pidió ayuda a un líder, lideresa o representante de la comunidad;;1;;;
74;273;JN;P47.5;;47;;category;;Pidió ayuda a un líder o lideresa político (a);Pidió ayuda a un líder o lideresa político (a);;1;;;
74;274;JO;P47.6;;47;;category;;Asistió a acciones de protesta en el espacio público;Asistió a acciones de protesta en el espacio público;;1;;;
74;275;JP;P47.7;;47;;category;;Expuso su caso en espacios de participación como asambleas, juntas barriales;Expuso su caso en espacios de participación como asambleas, juntas barriales;;1;;;
74;276;JQ;P47.8;;47;;category;;No hizo nada;No hizo nada;;1;;;
74;277;JR;P47.9;;47;;category;;Buscó defender a la otra persona o defenderse a sí mismo, haciendo uso;Buscó defender a la otra persona o defenderse a sí mismo, haciendo uso;;1;;;
74;278;JS;P47.10;;47;;category;;Lo divulgó a terceros como vecinos y amigos;Lo divulgó a terceros como vecinos y amigos;;1;;;
74;279;JT;P47.11;;47;;category;;No siento que se hayan vulnerado mis derechos ni los de los demás;No siento que se hayan vulnerado mis derechos ni los de los demás;;1;;;
75;280;JU;P48.1;;48;;category;;Seguridad alimentaria;Seguridad alimentaria;;1;;;
75;281;JV;P48.2;;48;;category;;Trabajo digno;Trabajo digno;;1;;;
75;282;JW;P48.3;;48;;category;;Acceso a vivienda;Acceso a vivienda;;1;;;
75;283;JX;P48.4;;48;;category;;Salud;Salud;;1;;;
75;284;JY;P48.5;;48;;category;;Recreación y deporte;Recreación y deporte;;1;;;
75;285;JZ;P48.6;;48;;category;;Otro;Otro;;1;;;
75;286;KA;P48.7;;48;;text;;;;;0;;;
77;287;KB;P49.1;;49;;category;;Seguridad alimentaria;Seguridad alimentaria;;1;;;
77;288;KC;P49.2;;49;;category;;Educación;Educación;;1;;;
77;289;KD;P49.3;;49;;category;;A la vida;A la vida;;1;;;
77;290;KE;P49.4;;49;;category;;Salud;Salud;;1;;;
77;291;KF;P49.5;;49;;category;;Recreación y deporte;Recreación y deporte;;1;;;
77;292;KG;P49.6;;49;;category;;Vivir en condiciones de bienestar y un sano desarrollo integra;Vivir en condiciones de bienestar y un sano desarrollo integra;;1;;;
77;293;KH;P49.7;;49;;category;;Otro;Otro;;0;;;
78;294;KI;P49.8;;49.1;;text;;¿Cuál otro?;¿Cuál otro?;;0;;;
79;295;KJ;P50;;50;;category;;;;;1;;;
80;296;KK;P51.1;;51;;category;a;Los vecinos;a. Los vecinos;;1;;;
80;297;KL;P51.2;;51;;category;b;Los amigos;b. Los amigos;;1;;;
80;298;KM;P51.3;;51;;category;c;Los parientes (familiares);c. Los parientes (familiares);;1;;;
80;299;KN;P51.4;;51;;category;d;Los compañeros de estudio o trabajo;d. Los compañeros de estudio o trabajo;;1;;;
80;300;KO;P51.5;;51;;category;e;Los demás habitantes de Bogotá;e. Los demás habitantes de Bogotá;;1;;;
81;301;KP;P52.1;;52;;category;;Bogotá;Bogotá;;1;;;
81;302;KQ;P52.2;;52;;category;;Su barrio o localidad;Su barrio o localidad;;1;;;
81;303;KR;P52.3;;52;;category;;Redes sociales;Redes sociales;;1;;;
82;304;KS;P53.1;;53;;category;a;Vecinos(as) que ponen música a un volumen muy alto o hacen mucho ruido;a. Vecinos(as) que ponen música a un volumen muy alto o hacen mucho ruido;;1;;;
82;305;KT;P53.2;;53;;category;b;Borrachos(as) que forman problemas;b. Borrachos(as) que forman problemas;;1;;;
82;306;KU;P53.3;;53;;category;c;Vecinos(as) que sacan la basura a deshoras o la dejan frente a la casa de los demás o en lugares no permitidos;c. Vecinos(as) que sacan la basura a deshoras o la dejan frente a la casa de los demás o en lugares no permitidos;;1;;;
82;307;KV;P53.4;;53;;category;d;Vecinos(as) y visitantes que parquean los carros en los andenes o frente al garaje de los otros;d. Vecinos(as) y visitantes que parquean los carros en los andenes o frente al garaje de los otros;;1;;;
82;308;KW;P53.5;;53;;category;e;Vecinos que no recogen el excremento de sus mascotas;e. Vecinos que no recogen el excremento de sus mascotas;;1;;;
82;309;KX;P53.6;;53;;category;f;Familias conflictivas que se pelean mucho entre ellos (gritos, insultos, portazos, golpes);f. Familias conflictivas que se pelean mucho entre ellos (gritos, insultos, portazos, golpes);;1;;;
82;310;KY;P53.7;;53;;category;g;Jóvenes de la zona que generan ruido y desorden en el barrio;g. Jóvenes de la zona que generan ruido y desorden en el barrio;;1;;;
82;311;KZ;P53.8;;53;;category;h;Comerciantes de la zona que invaden los espacios públicos;h. Comerciantes de la zona que invaden los espacios públicos;;1;;;
82;312;LA;P53.9;;53;;category;i;Negocios de la zona que hacen mucho ruido;i. Negocios de la zona que hacen mucho ruido;;1;;;
82;313;LB;P53.10;;53;;category;j;Peleas en su barrio;j. Peleas en su barrio;;1;;;
82;314;LC;P53.11;;53;;category;k;Personas que andan armadas;k. Personas que andan armadas;;1;;;
82;315;LD;P53.12;;53;;category;l;Venta de drogas o sustancias psicoactivas;l. Venta de drogas o sustancias psicoactivas;;1;;;
82;316;LE;P53.13;;53;;category;m;Consumo de sustancias psicoactivas o drogas;m. Consumo de sustancias psicoactivas o drogas;;1;;;
83;317;LF;P54;;54;;category;;;;;1;;;
84;318;LG;P55;;55;Orgullo de vivir en Bogotá;category;;;;;1;IndicadorI+C;;
85;319;LH;P56;;56;;category;;;;;1;;;
86;320;LI;P57.1;;57;Orgullo por El Servicio Integrado de Transporte Público de Bogotá (SITP, TransMilenio, TransMiCable, Sitp);category;;El Servicio Integrado de Transporte Público de Bogotá (SITP, TransMilenio, TransMiCable, Sitp);El Servicio Integrado de Transporte Público de Bogotá (SITP, TransMilenio, TransMiCable, Sitp);;1;IndicadorI+C;;
86;321;LJ;P57.2;;57;Orgullo por La oferta cultural de Bogotá;category;;La oferta cultural de Bogotá;La oferta cultural de Bogotá;;1;IndicadorI+C;;
86;322;LK;P57.3;;57;Orgullo por Los equipamientos culturales;category;;Los equipamientos culturales;Los equipamientos culturales;;1;IndicadorI+C;;
86;323;LL;P57.4;;57;Orgullo por La oferta deportiva y recreativa de Bogotá;category;;La oferta deportiva y recreativa de Bogotá;La oferta deportiva y recreativa de Bogotá;;1;IndicadorI+C;;
86;324;LM;P57.5;;57;Orgullo por El mantenimiento de las vias y los espacios públicos;category;;El mantenimiento de las vias y los espacios públicos;El mantenimiento de las vias y los espacios públicos;;1;IndicadorI+C;;
86;325;LN;P57.6;;57;Orgullo por La Oferta gastrónomica;category;;La Oferta gastrónomica;La Oferta gastrónomica;;1;IndicadorI+C;;
86;326;LO;P57.7;;57;Orgullo por El Patrimonio histórico y arquitectónico;category;;El Patrimonio histórico y arquitectónico;El Patrimonio histórico y arquitectónico;;1;IndicadorI+C;;
86;327;LP;P57.8;;57;Orgullo por Los Espacios verdes y parques públicos (Parque Simón Bolívar, Jardín Botánico, Parque de los Novios);category;;Los Espacios verdes y parques públicos (Parque Simón Bolívar, Jardín Botánico, Parque de los Novios);Los Espacios verdes y parques públicos (Parque Simón Bolívar, Jardín Botánico, Parque de los Novios);;1;IndicadorI+C;;
86;328;LQ;P57.9;;57;Orgullo por El manejo de residuos en la ciudad;category;;El manejo de residuos en la ciudad;El manejo de residuos en la ciudad;;1;IndicadorI+C;;
86;329;LR;P57.10;;57;Orgullo por La convivencia ciudadana;category;;La convivencia ciudadana;La convivencia ciudadana;;1;IndicadorI+C;;
87;330;LS;P58;;58;;category;;;;;1;;;
88;331;LT;P59;;59;;category;;;;;1;;personas satisfechas;1 a 10
89;332;LU;P60;;60;;category;;;;;1;;;
90;333;LV;P61.1;;61;;category;a;Vivir en Bogotá;a. Vivir en Bogotá;;1;;;
90;334;LW;P61.2;;61;;category;b;El barrio donde usted vive;b. El barrio donde usted vive;;1;;;
90;335;LX;P61.3;;61;;category;c;Su vivienda;c. Su vivienda;;1;;;
90;336;LY;P61.4;;61;;category;d;Los parques y espacios de encuentro de su barrio;d. Los parques y espacios de encuentro de su barrio;;1;;;
90;337;LZ;P61.5;;61;;category;e;Las bibliotecas que se encuentran en su barrio;e. Las bibliotecas que se encuentran en su barrio;;1;;;
