variable,pregunta_codigo,pregunta_nombre,enunciado_pregunta,numero_seccion,seccion,tipo_variable,titulo_variable,enunciado_subvariable,etiqueta_corta,en_cubo,unidad_medida
P11.3,11,Situaciones presenciadas,Ahora voy a leerle una lista de situaciones. Dígame si las presenció durante el último mes.,4,Equidad de género,category,,Acoso o agresión a una mujer en redes sociales,,1,
P11.4,11,Situaciones presenciadas,Ahora voy a leerle una lista de situaciones. Dígame si las presenció durante el último mes.,4,Equidad de género,category,,"Acoso sexual en el espacio público (calle, transporte público)",,1,
P12.1,12,Sobre relaciones de pareja,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,Si me celan en una relación de pareja es porque me quieren,,1,
P12.2,12,Sobre relaciones de pareja,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,Es entendible que no me guste que mi pareja salga con amigos y amigas.,,1,
P12.3,12,Sobre relaciones de pareja,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,"Un hombre de verdad debe imponerse, así le toque usar la fuerza",,1,
P12.4,12,Sobre relaciones de pareja,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,Las personas infieles merecen un castigo.,,1,
P12.5,12,Sobre relaciones de pareja,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,"Cuando hay violencia en una relación de pareja, uno no tiene porqué meterse.",,1,
P12.6,12,Sobre relaciones de pareja,Dígame por favor si está en desacuerdo o de acuerdo con las siguientes afirmaciones.,4,Equidad de género,category,,Hoy en día las mujeres han descuidado sus deberes en el hogar y con sus parejas.,,1,
P37,37,Proporción de personas para confiar,¿En cuantas personas cree que podría confiar?,6,Cultura Política y Ciudadana,category,Proporción personas en las que confiar,,,1,
P51.1,51,Confianza en personas cercanas,Por lo general usted confía en,7,Convivencia y Cultura de Paz,category,,Los vecinos,,1,
P51.2,51,Confianza en personas cercanas,Por lo general usted confía en,7,Convivencia y Cultura de Paz,category,,Los amigos,,1,
P51.3,51,Confianza en personas cercanas,Por lo general usted confía en,7,Convivencia y Cultura de Paz,category,,Los parientes (familiares),,1,
P51.4,51,Confianza en personas cercanas,Por lo general usted confía en,7,Convivencia y Cultura de Paz,category,,Los compañeros de estudio o trabajo,,1,
